threads: 4

Up to STR_LEN[38] = 4
Number of runs per length: 2

Pairs	Length	avg time(sec)
1	10	1.35899e-05
6	20	2.69413e-05
9	30	4.95911e-05
11	40	7.84397e-05
15	50	0.000178576
18	60	0.000174046
21	70	0.000298977
25	80	0.000329494
29	90	0.000349522
32	100	0.0003649
176	500	0.0534965
356	1000	0.393892
447	1250	0.720901
536	1500	1.27278
629	1750	1.99951
717	2000	3.02286
807	2250	4.18152
895	2500	5.8941
987	2750	7.70822
1079	3000	10.1502
1168	3250	12.7711
1259	3500	16.0101
1349	3750	19.5923
1442	4000	24.1575
1532	4250	28.8844
1623	4500	33.8369
1714	4750	39.8396
1806	5000	46.7973
1897	5250	54.6414
1990	5500	63.5329
2081	5750	72.1009
2171	6000	81.7743
2264	6250	93.4125
2354	6500	104.06
2447	6750	120.453
2537	7000	130.933
2901	8000	197.737
3266	9000	284.564
