threads: 8

Up to STR_LEN[38] = 8
Number of runs per length: 1

Pairs	Length	avg time(sec)
1	10	1.78814e-05
6	20	3.79086e-05
9	30	7.10487e-05
11	40	0.000119925
15	50	0.000149012
18	60	0.000198841
21	70	0.000245094
25	80	0.000297785
29	90	0.00037694
32	100	0.000442982
176	500	0.0688181
356	1000	0.337199
447	1250	0.421972
536	1500	1.02629
629	1750	1.31225
717	2000	2.55454
807	2250	2.14824
895	2500	3.77016
987	2750	3.89168
1079	3000	5.93993
1168	3250	6.72959
1259	3500	8.80056
1349	3750	10.751
1442	4000	14.2107
1532	4250	16.1998
1623	4500	19.1181
1714	4750	22.0778
1806	5000	27.0959
1897	5250	31.6967
1990	5500	38.1208
2081	5750	41.1596
2171	6000	47.6927
2264	6250	54.433
2354	6500	59.6985
2447	6750	73.8629
2537	7000	76.6226
2901	8000	116.418
3266	9000	168.051
