threads: 2

Up to STR_LEN[38] = 2
Number of runs per length: 1

Pairs	Length	avg time(sec)
1	10	1.28746e-05
6	20	1.90735e-05
9	30	4.00543e-05
11	40	8.51154e-05
15	50	0.000162125
18	60	0.000170946
21	70	0.000257015
25	80	0.000383854
29	90	0.000580788
32	100	0.0010941
176	500	0.0944121
356	1000	0.71984
447	1250	1.37063
536	1500	2.39199
629	1750	3.78659
717	2000	5.66522
807	2250	8.02064
895	2500	11.1822
987	2750	14.8196
1079	3000	19.4987
1168	3250	24.7504
1259	3500	31.001
1349	3750	38.1564
1442	4000	46.459
1532	4250	55.873
1623	4500	66.2131
1714	4750	77.6782
1806	5000	91.5387
1897	5250	106.189
1990	5500	122.977
2081	5750	139.65
2171	6000	159.329
2264	6250	180.745
2354	6500	202.309
2447	6750	229.817
2537	7000	254.989
2901	8000	382.713
3266	9000	548.573
